,name,1dx,2dx
623,矿区,-0.09478899,-0.32126293
624,造山,-0.18452735,-0.34238234
625,岩层,-0.2432582,-0.31987023
626,向斜,-0.1557251,-0.2939606
627,指,-0.20811027,-0.36040255
628,碎斑,-0.20247404,-0.34554616
629,15%,-0.26225188,-0.3486991
630,过渡,-0.22229536,-0.37566656
631,中见,-0.32331997,-0.2867899
632,中部,-0.18432802,-0.20253102
633,扎青乡,-0.082560495,-0.37407577
634,25%,-0.2222128,-0.3029033
635,碳酸岩,-0.25307065,-0.27154657
636,减少,-0.21998854,-0.34495473
637,岭群,-0.14,-0.27844906
638,Nb,-0.20488906,-0.43420443
639,群中,-0.041967522,-0.29788464
640,宁多岩,-0.16210173,-0.39357
641,英安质,-0.47006595,-0.27822143
642,完成,-0.21655422,-0.3600935
643,橄榄岩,-0.10533652,-0.23141171
644,昂欠,-0.023374915,-0.36343327
645,模式,-0.122329466,-0.3079817
646,5%,-0.22487585,-0.29137078
647,产,-0.12720425,-0.21050185
648,10%,-0.26713327,-0.33935165
649,色,-0.21705048,-0.43813884
650,杂多,-0.055279862,-0.2881712
651,部位,-0.21379259,-0.33888406
652,环带,-0.13913259,-0.18156368
653,Ⅱ,-0.14700788,-0.34771824
654,副,-0.17552161,-0.24198645
655,倾向,-0.21204127,-0.33022198
656,板状,-0.2743672,-0.28480303
657,岩块,-0.09824353,-0.14727512
658,石膏,-0.26292887,-0.24692202
659,陆相,-0.19370468,-0.23503505
660,以北,-0.09194668,-0.30094123
661,断面,-0.15247141,-0.33156824
662,聂恰曲,-0.13509719,-0.38876852
663,始新世,-0.13730057,-0.37669188
664,背景,-0.16679342,-0.25945863
665,安山,-0.36000675,-0.15075369
666,牌号,-0.16117153,-0.28081682
667,透入,-0.19483571,-0.31658676
668,南侧,-0.1062064,-0.24288756
669,大地构造,-0.12618737,-0.28353134
670,调,-0.21738411,-0.46819487
671,陆内,-0.210495,-0.4123485
672,V,-0.24202973,-0.46020323
673,该组,-0.106131114,-0.25167903
674,18,-0.20797364,-0.31596848
675,石英岩,-0.2858087,-0.292915
676,消光,-0.16687067,-0.2908949
677,宏观,-0.19327702,-0.2867698
678,Ni,-0.1816181,-0.47048792
679,玻屑,-0.26346734,-0.24923275
680,煤层,-0.27006498,-0.19396296
681,构造运动,-0.19227964,-0.38116637
682,相似,-0.1005239,-0.22576652
683,冰碛,-0.21804059,-0.34873736
684,橄榄石,-0.24518909,-0.3157531
685,颗粒,-0.22361216,-0.29161286
686,矿,-0.21016866,-0.36411753
687,唐古拉山,-0.19522586,-0.40720078
688,创名,-0.16797876,-0.4063083
689,现代,-0.16386543,-0.3597589
690,北西西,-0.123248614,-0.3244166
691,世尕笛,-0.14986472,-0.31978744
692,夷平面,-0.20868126,-0.32213688
693,磷灰石,-0.20303723,-0.2841538
694,沼泽,-0.19081153,-0.36651444
695,状二长,-0.21650754,-0.34208208
696,山地,-0.25507686,-0.45231324
697,均匀,-0.105204605,-0.20907623
698,C,-0.22748199,-0.32254815
699,丰度,-0.13406165,-0.32091478
700,Ce,-0.14950773,-0.36339483
701,㈡,-0.07638687,-0.25669768
702,良好,-0.13494796,-0.2571399
703,13,-0.18291482,-0.2558622
704,枢纽,-0.1764963,-0.27936372
705,因素,-0.20383939,-0.3541632
706,冰期,-0.15232533,-0.2894358
707,造山带,-0.18828593,-0.32306373
708,石化,-0.121898375,-0.2681128
